,compound0,compound1,similarity
15484,DB00305,DB01221,0.1455
15485,DB00305,DB01223,0.25
15486,DB00305,DB01224,0.1241
15487,DB00305,DB01232,0.197
15488,DB00305,DB01233,0.2353
15489,DB00305,DB01236,0.0426
15490,DB00305,DB01238,0.1711
15491,DB00305,DB01240,0.1481
15492,DB00305,DB01241,0.1947
15493,DB00305,DB01242,0.1562
15494,DB00305,DB01254,0.1887
15495,DB00305,DB01263,0.1604
15496,DB00305,DB01264,0.2093
15497,DB00305,DB01267,0.1948
15498,DB00305,DB01268,0.2207
15499,DB00305,DB01275,0.08
15500,DB00305,DB01291,0.1091
15501,DB00305,DB01410,0.2069
15502,DB00305,DB01589,0.1343
15503,DB00305,DB01595,0.176
15504,DB00305,DB01609,0.1379
15505,DB00305,DB01610,0.3008
15506,DB00305,DB01611,0.1077
15507,DB00305,DB05271,0.124
15508,DB00305,DB06700,0.1186
15509,DB00305,DB06701,0.1754
15510,DB00307,DB00310,0.3231
15511,DB00307,DB00313,0.1458
15512,DB00307,DB00316,0.3
15513,DB00307,DB00317,0.2375
15514,DB00307,DB00321,0.2901
15515,DB00307,DB00323,0.4516
15516,DB00307,DB00328,0.4173
15517,DB00307,DB00330,0.0556
15518,DB00307,DB00331,0.087
15519,DB00307,DB00333,0.2836
15520,DB00307,DB00334,0.2836
15521,DB00307,DB00335,0.2623
15522,DB00307,DB00339,0.1474
15523,DB00307,DB00341,0.2703
15524,DB00307,DB00346,0.2416
15525,DB00307,DB00350,0.125
15526,DB00307,DB00351,0.2917
15527,DB00307,DB00356,0.2178
15528,DB00307,DB00358,0.2128
15529,DB00307,DB00359,0.2373
15530,DB00307,DB00363,0.292
15531,DB00307,DB00364,0.0221
15532,DB00307,DB00370,0.2481
15533,DB00307,DB00371,0.1101
15534,DB00307,DB00374,0.2148
15535,DB00307,DB00376,0.163
15536,DB00307,DB00377,0.1778
15537,DB00307,DB00379,0.2476
15538,DB00307,DB00381,0.2721
15539,DB00307,DB00393,0.3046
15540,DB00307,DB00395,0.1368
15541,DB00307,DB00398,0.2893
15542,DB00307,DB00399,0.0901
15543,DB00307,DB00401,0.3034
15544,DB00307,DB00404,0.2985
15545,DB00307,DB00407,0.0553
15546,DB00307,DB00408,0.292
15547,DB00307,DB00411,0.125
15548,DB00307,DB00419,0.0545
15549,DB00307,DB00423,0.2222
15550,DB00307,DB00425,0.3582
15551,DB00307,DB00426,0.1642
15552,DB00307,DB00433,0.2657
15553,DB00307,DB00435,0.0274
15554,DB00307,DB00440,0.2188
15555,DB00307,DB00446,0.2276
15556,DB00307,DB00448,0.2571
15557,DB00307,DB00450,0.3179
15558,DB00307,DB00454,0.2975
15559,DB00307,DB00455,0.2973
15560,DB00307,DB00457,0.28
15561,DB00307,DB00458,0.2748
15562,DB00307,DB00461,0.3559
15563,DB00307,DB00465,0.3548
15564,DB00307,DB00472,0.2121
15565,DB00307,DB00475,0.2923
15566,DB00307,DB00477,0.2769
15567,DB00307,DB00480,0.2276
15568,DB00307,DB00481,0.3077
15569,DB00307,DB00482,0.2837
15570,DB00307,DB00484,0.2167
15571,DB00307,DB00489,0.2542
15572,DB00307,DB00490,0.1579
15573,DB00307,DB00493,0.2105
15574,DB00307,DB00499,0.2353
15575,DB00307,DB00501,0.1186
15576,DB00307,DB00502,0.3611
15577,DB00307,DB00509,0.2537
15578,DB00307,DB00512,0.185
15579,DB00307,DB00513,0.1064
15580,DB00307,DB00524,0.3111
15581,DB00307,DB00529,0.1176
15582,DB00307,DB00530,0.2338
15583,DB00307,DB00531,0.055
15584,DB00307,DB00537,0.292
15585,DB00307,DB00540,0.2791
15586,DB00307,DB00541,0.2773
15587,DB00307,DB00543,0.2815
15588,DB00307,DB00544,0.1064
15589,DB00307,DB00545,0.2286
15590,DB00307,DB00548,0.1143
15591,DB00307,DB00549,0.3333
15592,DB00307,DB00550,0.14
15593,DB00307,DB00552,0.1129
15594,DB00307,DB00555,0.193
15595,DB00307,DB00557,0.2192
15596,DB00307,DB00559,0.2444
15597,DB00307,DB00564,0.2787
15598,DB00307,DB00571,0.2581
15599,DB00307,DB00575,0.2
15600,DB00307,DB00582,0.2286
15601,DB00307,DB00586,0.3252
15602,DB00307,DB00590,0.2788
15603,DB00307,DB00593,0.1667
15604,DB00307,DB00596,0.2532
15605,DB00307,DB00598,0.3066
15606,DB00307,DB00603,0.274
15607,DB00307,DB00605,0.3597
15608,DB00307,DB00608,0.2424
15609,DB00307,DB00612,0.2239
15610,DB00307,DB00619,0.3258
15611,DB00307,DB00621,0.229
15612,DB00307,DB00622,0.3114
15613,DB00307,DB00623,0.2436
15614,DB00307,DB00627,0.2947
15615,DB00307,DB00630,0.0385
15616,DB00307,DB00631,0.096
15617,DB00307,DB00632,0.0292
15618,DB00307,DB00642,0.3077
15619,DB00307,DB00648,0.2333
15620,DB00307,DB00656,0.2329
15621,DB00307,DB00659,0.102
15622,DB00307,DB00661,0.2857
15623,DB00307,DB00669,0.24
15624,DB00307,DB00672,0.2414
15625,DB00307,DB00673,0.2558
15626,DB00307,DB00678,0.2293
15627,DB00307,DB00683,0.2941
15628,DB00307,DB00690,0.2877
15629,DB00307,DB00695,0.315
15630,DB00307,DB00697,0.188
15631,DB00307,DB00700,0.2338
15632,DB00307,DB00708,0.2838
15633,DB00307,DB00710,0.0678
15634,DB00307,DB00712,0.35
15635,DB00307,DB00718,0.1728
15636,DB00307,DB00724,0.2314
15637,DB00307,DB00726,0.2857
15638,DB00307,DB00727,0.0183
15639,DB00307,DB00731,0.2687
15640,DB00307,DB00734,0.2166
15641,DB00307,DB00736,0.292
15642,DB00307,DB00737,0.2632
15643,DB00307,DB00740,0.1802
15644,DB00307,DB00742,0.02
15645,DB00307,DB00745,0.2419
15646,DB00307,DB00746,0.0678
15647,DB00307,DB00747,0.2256
15648,DB00307,DB00749,0.3101
15649,DB00307,DB00753,0.0
15650,DB00307,DB00761,0.0
15651,DB00307,DB00763,0.0899
15652,DB00307,DB00776,0.3065
15653,DB00307,DB00780,0.1616
15654,DB00307,DB00784,0.4333
15655,DB00307,DB00787,0.1217
15656,DB00307,DB00794,0.2435
15657,DB00307,DB00796,0.2892
15658,DB00307,DB00798,0.1132
15659,DB00307,DB00799,0.4681
15660,DB00307,DB00802,0.2581
15661,DB00307,DB00804,0.1504
15662,DB00307,DB00806,0.1774
15663,DB00307,DB00808,0.3382
15664,DB00307,DB00809,0.2615
15665,DB00307,DB00813,0.2517
15666,DB00307,DB00818,0.25
15667,DB00307,DB00819,0.1154
15668,DB00307,DB00820,0.2727
15669,DB00307,DB00822,0.1071
15670,DB00307,DB00829,0.315
15671,DB00307,DB00836,0.2994
15672,DB00307,DB00841,0.2727
15673,DB00307,DB00842,0.2992
15674,DB00307,DB00843,0.2781
15675,DB00307,DB00850,0.255
15676,DB00307,DB00853,0.1481
15677,DB00307,DB00861,0.4202
15678,DB00307,DB00862,0.2424
15679,DB00307,DB00864,0.1689
15680,DB00307,DB00869,0.15
15681,DB00307,DB00877,0.1862
15682,DB00307,DB00879,0.1228
15683,DB00307,DB00880,0.1739
15684,DB00307,DB00884,0.1404
15685,DB00307,DB00887,0.3453
15686,DB00307,DB00889,0.2353
15687,DB00307,DB00897,0.2941
15688,DB00307,DB00903,0.3
15689,DB00307,DB00904,0.3008
15690,DB00307,DB00905,0.1806
15691,DB00307,DB00909,0.1835
15692,DB00307,DB00910,0.1711
15693,DB00307,DB00915,0.0588
15694,DB00307,DB00916,0.1373
15695,DB00307,DB00918,0.237
15696,DB00307,DB00920,0.2836
15697,DB00307,DB00924,0.2595
15698,DB00307,DB00934,0.3182
15699,DB00307,DB00938,0.2038
15700,DB00307,DB00945,0.3238
15701,DB00307,DB00947,0.1848
15702,DB00307,DB00950,0.2629
15703,DB00307,DB00951,0.2245
15704,DB00307,DB00952,0.237
15705,DB00307,DB00953,0.2344
15706,DB00307,DB00958,0.1569
15707,DB00307,DB00960,0.2314
15708,DB00307,DB00962,0.2963
15709,DB00307,DB00966,0.3297
15710,DB00307,DB00967,0.2667
15711,DB00307,DB00969,0.2857
15712,DB00307,DB00970,0.1548
15713,DB00307,DB00972,0.2703
15714,DB00307,DB00973,0.2323
15715,DB00307,DB00975,0.1034
15716,DB00307,DB00983,0.2857
15717,DB00307,DB00990,0.2748
15718,DB00307,DB00991,0.2985
15719,DB00307,DB00993,0.1613
15720,DB00307,DB00996,0.1942
15721,DB00307,DB00998,0.314
15722,DB00307,DB00999,0.1739
15723,DB00307,DB01001,0.2261
15724,DB00307,DB01003,0.303
15725,DB00307,DB01004,0.1167
15726,DB00307,DB01005,0.0988
15727,DB00307,DB01006,0.209
15728,DB00307,DB01007,0.2206
15729,DB00307,DB01008,0.0566
15730,DB00307,DB01009,0.374
15731,DB00307,DB01016,0.2945
15732,DB00307,DB01019,0.1443
15733,DB00307,DB01020,0.0755
15734,DB00307,DB01023,0.292
15735,DB00307,DB01029,0.2805
15736,DB00307,DB01032,0.3802
15737,DB00307,DB01033,0.101
15738,DB00307,DB01035,0.3077
15739,DB00307,DB01039,0.4058
15740,DB00307,DB01041,0.2439
15741,DB00307,DB01042,0.2459
15742,DB00307,DB01043,0.1509
15743,DB00307,DB01044,0.2778
15744,DB00307,DB01045,0.2183
15745,DB00307,DB01048,0.1538
15746,DB00307,DB01050,0.3273
15747,DB00307,DB01059,0.3134
15748,DB00307,DB01062,0.2222
15749,DB00307,DB01067,0.2785
15750,DB00307,DB01068,0.2879
15751,DB00307,DB01069,0.2677
15752,DB00307,DB01072,0.2286
15753,DB00307,DB01077,0.0632
15754,DB00307,DB01097,0.3115
15755,DB00307,DB01101,0.1449
15756,DB00307,DB01105,0.314
15757,DB00307,DB01110,0.2553
15758,DB00307,DB01114,0.2419
15759,DB00307,DB01115,0.3066
15760,DB00307,DB01117,0.2778
15761,DB00307,DB01118,0.293
15762,DB00307,DB01124,0.2689
15763,DB00307,DB01126,0.2807
15764,DB00307,DB01127,0.2302
15765,DB00307,DB01128,0.2857
15766,DB00307,DB01129,0.2676
15767,DB00307,DB01132,0.2535
15768,DB00307,DB01136,0.2278
15769,DB00307,DB01140,0.3333
15770,DB00307,DB01143,0.0392
15771,DB00307,DB01149,0.241
15772,DB00307,DB01151,0.2636
15773,DB00307,DB01156,0.3036
15774,DB00307,DB01162,0.2267
15775,DB00307,DB01165,0.2817
15776,DB00307,DB01173,0.2835
15777,DB00307,DB01181,0.055
15778,DB00307,DB01182,0.2676
15779,DB00307,DB01188,0.2321
15780,DB00307,DB01189,0.0
15781,DB00307,DB01193,0.2815
15782,DB00307,DB01194,0.1364
15783,DB00307,DB01195,0.2041
15784,DB00307,DB01198,0.2449
15785,DB00307,DB01204,0.2
15786,DB00307,DB01205,0.2901
15787,DB00307,DB01215,0.2727
15788,DB00307,DB01217,0.2154
15789,DB00307,DB01220,0.2321
15790,DB00307,DB01221,0.2783
15791,DB00307,DB01223,0.1745
15792,DB00307,DB01224,0.24
15793,DB00307,DB01232,0.2308
15794,DB00307,DB01233,0.2419
15795,DB00307,DB01236,0.0
15796,DB00307,DB01238,0.2548
15797,DB00307,DB01240,0.1286
15798,DB00307,DB01241,0.339
15799,DB00307,DB01242,0.3008
15800,DB00307,DB01254,0.2927
15801,DB00307,DB01263,0.2304
15802,DB00307,DB01264,0.2373
15803,DB00307,DB01267,0.2264
15804,DB00307,DB01268,0.2667
15805,DB00307,DB01275,0.1905
15806,DB00307,DB01291,0.1913
15807,DB00307,DB01410,0.2235
15808,DB00307,DB01589,0.259
15809,DB00307,DB01595,0.2923
15810,DB00307,DB01609,0.36
15811,DB00307,DB01610,0.1594
15812,DB00307,DB01611,0.237
15813,DB00307,DB05271,0.2537
15814,DB00307,DB06700,0.2927
15815,DB00307,DB06701,0.2353
15816,DB00310,DB00313,0.0465
15817,DB00310,DB00316,0.2667
15818,DB00310,DB00317,0.24
15819,DB00310,DB00321,0.3636
15820,DB00310,DB00323,0.3509
15821,DB00310,DB00328,0.3566
15822,DB00310,DB00330,0.0204
15823,DB00310,DB00331,0.0244
15824,DB00310,DB00333,0.2903
15825,DB00310,DB00334,0.3226
15826,DB00310,DB00335,0.2321
15827,DB00310,DB00339,0.1412
15828,DB00310,DB00341,0.3188
15829,DB00310,DB00346,0.1583
15830,DB00310,DB00350,0.1176
15831,DB00310,DB00351,0.1493
15832,DB00310,DB00356,0.3297
15833,DB00310,DB00358,0.229
15834,DB00310,DB00359,0.3889
15835,DB00310,DB00363,0.4252
15836,DB00310,DB00364,0.0611
15837,DB00310,DB00370,0.3025
15838,DB00310,DB00371,0.0606
15839,DB00310,DB00374,0.1583
15840,DB00310,DB00376,0.208
15841,DB00310,DB00377,0.224
15842,DB00310,DB00379,0.2105
15843,DB00310,DB00381,0.3358
15844,DB00310,DB00393,0.2553
15845,DB00310,DB00395,0.0561
15846,DB00310,DB00398,0.3221
15847,DB00310,DB00399,0.1188
15848,DB00310,DB00401,0.2963
15849,DB00310,DB00404,0.4032
15850,DB00310,DB00407,0.0576
15851,DB00310,DB00408,0.3937
15852,DB00310,DB00411,0.0465
15853,DB00310,DB00419,0.02
15854,DB00310,DB00423,0.2804
15855,DB00310,DB00425,0.2903
15856,DB00310,DB00426,0.129
15857,DB00310,DB00433,0.3459
15858,DB00310,DB00435,0.0317
15859,DB00310,DB00440,0.1864
15860,DB00310,DB00446,0.2478
15861,DB00310,DB00448,0.3231
15862,DB00310,DB00450,0.3546
15863,DB00310,DB00454,0.2703
15864,DB00310,DB00455,0.3043
15865,DB00310,DB00457,0.2286
15866,DB00310,DB00458,0.314
15867,DB00310,DB00461,0.2963
15868,DB00310,DB00465,0.3684
15869,DB00310,DB00472,0.2951
15870,DB00310,DB00475,0.4167
15871,DB00310,DB00477,0.3833
15872,DB00310,DB00480,0.354
15873,DB00310,DB00481,0.2516
15874,DB00310,DB00482,0.3969
15875,DB00310,DB00484,0.2182
15876,DB00310,DB00489,0.2963
15877,DB00310,DB00490,0.1549
15878,DB00310,DB00493,0.169
15879,DB00310,DB00499,0.2018
15880,DB00310,DB00501,0.0741
15881,DB00310,DB00502,0.3433
15882,DB00310,DB00509,0.2258
15883,DB00310,DB00512,0.1786
15884,DB00310,DB00513,0.0714
15885,DB00310,DB00524,0.592
15886,DB00310,DB00529,0.08
15887,DB00310,DB00530,0.2361
15888,DB00310,DB00531,0.0606
15889,DB00310,DB00537,0.2362
15890,DB00310,DB00540,0.3697
15891,DB00310,DB00541,0.2456
15892,DB00310,DB00543,0.416
15893,DB00310,DB00544,0.1905
15894,DB00310,DB00545,0.1684
15895,DB00310,DB00548,0.0632
15896,DB00310,DB00549,0.3295
15897,DB00310,DB00550,0.1778
15898,DB00310,DB00552,0.1053
15899,DB00310,DB00555,0.3462
15900,DB00310,DB00557,0.3088
15901,DB00310,DB00559,0.3176
15902,DB00310,DB00564,0.375
15903,DB00310,DB00571,0.3333
15904,DB00310,DB00575,0.28
15905,DB00310,DB00582,0.2462
15906,DB00310,DB00586,0.4425
15907,DB00310,DB00590,0.271
15908,DB00310,DB00593,0.1628
15909,DB00310,DB00596,0.1622
15910,DB00310,DB00598,0.3622
15911,DB00310,DB00603,0.1176
15912,DB00310,DB00605,0.3411
15913,DB00310,DB00608,0.2459
15914,DB00310,DB00612,0.1774
15915,DB00310,DB00619,0.2381
15916,DB00310,DB00621,0.0992
15917,DB00310,DB00622,0.3312
15918,DB00310,DB00623,0.3014
15919,DB00310,DB00627,0.2118
15920,DB00310,DB00630,0.0851
15921,DB00310,DB00631,0.1565
15922,DB00310,DB00632,0.0157
15923,DB00310,DB00642,0.3014
15924,DB00310,DB00648,0.4
15925,DB00310,DB00656,0.3235
15926,DB00310,DB00659,0.1591
15927,DB00310,DB00661,0.2252
15928,DB00310,DB00669,0.2957
15929,DB00310,DB00672,0.3396
15930,DB00310,DB00673,0.2593
15931,DB00310,DB00678,0.3673
15932,DB00310,DB00683,0.4127
15933,DB00310,DB00690,0.4118
15934,DB00310,DB00695,0.4957
15935,DB00310,DB00697,0.2617
15936,DB00310,DB00700,0.125
15937,DB00310,DB00708,0.2609
15938,DB00310,DB00710,0.0556
15939,DB00310,DB00712,0.4182
15940,DB00310,DB00718,0.1184
15941,DB00310,DB00724,0.3063
15942,DB00310,DB00726,0.3089
15943,DB00310,DB00727,0.0606
15944,DB00310,DB00731,0.2419
15945,DB00310,DB00734,0.1905
15946,DB00310,DB00736,0.2362
15947,DB00310,DB00737,0.3239
15948,DB00310,DB00740,0.2178
15949,DB00310,DB00742,0.0222
15950,DB00310,DB00745,0.3509
15951,DB00310,DB00746,0.0599
15952,DB00310,DB00747,0.2276
15953,DB00310,DB00749,0.2521
15954,DB00310,DB00753,0.0238
15955,DB00310,DB00761,0.0
15956,DB00310,DB00763,0.1013
15957,DB00310,DB00776,0.4561
15958,DB00310,DB00780,0.2921
15959,DB00310,DB00784,0.4
15960,DB00310,DB00787,0.1905
15961,DB00310,DB00794,0.381
15962,DB00310,DB00796,0.3333
15963,DB00310,DB00798,0.0537
15964,DB00310,DB00799,0.2901
15965,DB00310,DB00802,0.2345
15966,DB00310,DB00804,0.0325
15967,DB00310,DB00806,0.1579
15968,DB00310,DB00808,0.6032
15969,DB00310,DB00809,0.3167
15970,DB00310,DB00813,0.2707
15971,DB00310,DB00818,0.2128
15972,DB00310,DB00819,0.234
15973,DB00310,DB00820,0.3611
15974,DB00310,DB00822,0.0
15975,DB00310,DB00829,0.4615
15976,DB00310,DB00836,0.3439
15977,DB00310,DB00841,0.2951
15978,DB00310,DB00842,0.4957
15979,DB00310,DB00843,0.3262
15980,DB00310,DB00850,0.3453
15981,DB00310,DB00853,0.1633
15982,DB00310,DB00861,0.367
15983,DB00310,DB00862,0.271
15984,DB00310,DB00864,0.1209
15985,DB00310,DB00869,0.2545
15986,DB00310,DB00877,0.1603
15987,DB00310,DB00879,0.1538
15988,DB00310,DB00880,0.4571
15989,DB00310,DB00884,0.1923
15990,DB00310,DB00887,0.4806
15991,DB00310,DB00889,0.2222
15992,DB00310,DB00897,0.4286
15993,DB00310,DB00903,0.2364
15994,DB00310,DB00904,0.3252
15995,DB00310,DB00905,0.1931
15996,DB00310,DB00909,0.404
15997,DB00310,DB00910,0.0563
15998,DB00310,DB00915,0.0435
15999,DB00310,DB00916,0.1087
16000,DB00310,DB00918,0.272
16001,DB00310,DB00920,0.371
16002,DB00310,DB00924,0.3636
16003,DB00310,DB00934,0.3607
16004,DB00310,DB00938,0.2857
16005,DB00310,DB00945,0.3158
16006,DB00310,DB00947,0.1379
16007,DB00310,DB00950,0.2545
16008,DB00310,DB00951,0.2045
16009,DB00310,DB00952,0.272
16010,DB00310,DB00953,0.2373
16011,DB00310,DB00958,0.1304
16012,DB00310,DB00960,0.2523
16013,DB00310,DB00962,0.288
16014,DB00310,DB00966,0.3023
16015,DB00310,DB00967,0.336
16016,DB00310,DB00969,0.3252
16017,DB00310,DB00970,0.1067
16018,DB00310,DB00972,0.3623
16019,DB00310,DB00973,0.2759
16020,DB00310,DB00975,0.0854
16021,DB00310,DB00983,0.2923
16022,DB00310,DB00990,0.1818
16023,DB00310,DB00991,0.3548
16024,DB00310,DB00993,0.1754
16025,DB00310,DB00996,0.086
16026,DB00310,DB00998,0.2523
16027,DB00310,DB00999,0.4381
16028,DB00310,DB01001,0.1905
16029,DB00310,DB01003,0.3226
16030,DB00310,DB01004,0.1818
16031,DB00310,DB01005,0.0845
16032,DB00310,DB01006,0.2419
16033,DB00310,DB01007,0.3016
16034,DB00310,DB01008,0.125
16035,DB00310,DB01009,0.3894
16036,DB00310,DB01016,0.3268
16037,DB00310,DB01019,0.046
16038,DB00310,DB01020,0.0417
16039,DB00310,DB01023,0.2835
16040,DB00310,DB01029,0.3506
16041,DB00310,DB01032,0.3063
16042,DB00310,DB01033,0.1348
16043,DB00310,DB01035,0.2243
16044,DB00310,DB01039,0.2969
16045,DB00310,DB01041,0.4071
16046,DB00310,DB01042,0.25
16047,DB00310,DB01043,0.0417
16048,DB00310,DB01044,0.209
16049,DB00310,DB01045,0.1735
16050,DB00310,DB01048,0.15
16051,DB00310,DB01050,0.24
16052,DB00310,DB01059,0.2419
16053,DB00310,DB01062,0.209
16054,DB00310,DB01067,0.2703
16055,DB00310,DB01068,0.5082
16056,DB00310,DB01069,0.3248
16057,DB00310,DB01072,0.23
16058,DB00310,DB01077,0.0706
16059,DB00310,DB01097,0.25
16060,DB00310,DB01101,0.125
16061,DB00310,DB01105,0.2703
16062,DB00310,DB01110,0.3206
16063,DB00310,DB01114,0.3333
16064,DB00310,DB01115,0.315
16065,DB00310,DB01117,0.4328
16066,DB00310,DB01118,0.2721
16067,DB00310,DB01124,0.2936
16068,DB00310,DB01126,0.2112
16069,DB00310,DB01127,0.3101
16070,DB00310,DB01128,0.3504
16071,DB00310,DB01129,0.3182
16072,DB00310,DB01132,0.3182
16073,DB00310,DB01136,0.3108
16074,DB00310,DB01140,0.2969
16075,DB00310,DB01143,0.0652
16076,DB00310,DB01149,0.3205
16077,DB00310,DB01151,0.3193
16078,DB00310,DB01156,0.2549
16079,DB00310,DB01162,0.1571
16080,DB00310,DB01165,0.197
16081,DB00310,DB01173,0.3077
16082,DB00310,DB01181,0.0404
16083,DB00310,DB01182,0.303
16084,DB00310,DB01188,0.1765
16085,DB00310,DB01189,0.0
16086,DB00310,DB01193,0.192
16087,DB00310,DB01194,0.2295
16088,DB00310,DB01195,0.1606
16089,DB00310,DB01198,0.2482
16090,DB00310,DB01204,0.24
16091,DB00310,DB01205,0.281
16092,DB00310,DB01215,0.4098
16093,DB00310,DB01217,0.15
16094,DB00310,DB01220,0.215
16095,DB00310,DB01221,0.4
16096,DB00310,DB01223,0.2014
16097,DB00310,DB01224,0.3286
16098,DB00310,DB01232,0.2424
16099,DB00310,DB01233,0.2105
16100,DB00310,DB01236,0.0
16101,DB00310,DB01238,0.3265
16102,DB00310,DB01240,0.0462
16103,DB00310,DB01241,0.2037
16104,DB00310,DB01242,0.374
16105,DB00310,DB01254,0.2597
16106,DB00310,DB01263,0.2222
16107,DB00310,DB01264,0.3114
16108,DB00310,DB01267,0.2013
16109,DB00310,DB01268,0.2571
16110,DB00310,DB01275,0.3158
16111,DB00310,DB01291,0.1524
16112,DB00310,DB01410,0.1302
16113,DB00310,DB01589,0.4031
16114,DB00310,DB01595,0.45
16115,DB00310,DB01609,0.3571
16116,DB00310,DB01610,0.1719
16117,DB00310,DB01611,0.256
16118,DB00310,DB05271,0.2581
16119,DB00310,DB06700,0.2301
16120,DB00310,DB06701,0.2569
16121,DB00313,DB00316,0.1786
16122,DB00313,DB00317,0.069
16123,DB00313,DB00321,0.092
16124,DB00313,DB00323,0.125
16125,DB00313,DB00328,0.1684
16126,DB00313,DB00330,0.3125
16127,DB00313,DB00331,0.125
16128,DB00313,DB00333,0.2
16129,DB00313,DB00334,0.0444
16130,DB00313,DB00335,0.2564
16131,DB00313,DB00339,0.1176
16132,DB00313,DB00341,0.1731
16133,DB00313,DB00346,0.1524
16134,DB00313,DB00350,0.0
16135,DB00313,DB00351,0.1
16136,DB00313,DB00356,0.0351
16137,DB00313,DB00358,0.0412
16138,DB00313,DB00359,0.027
16139,DB00313,DB00363,0.0215
16140,DB00313,DB00364,0.0351
16141,DB00313,DB00370,0.0235
16142,DB00313,DB00371,0.3385
16143,DB00313,DB00374,0.2857
16144,DB00313,DB00376,0.0659
16145,DB00313,DB00377,0.022
16146,DB00313,DB00379,0.1311
16147,DB00313,DB00381,0.1942
16148,DB00313,DB00393,0.1495
16149,DB00313,DB00395,0.3288
16150,DB00313,DB00398,0.0696
16151,DB00313,DB00399,0.0896
16152,DB00313,DB00401,0.1386
16153,DB00313,DB00404,0.0222
16154,DB00313,DB00407,0.0766
16155,DB00313,DB00408,0.0215
16156,DB00313,DB00411,0.2692
16157,DB00313,DB00419,0.2424
16158,DB00313,DB00423,0.2192
16159,DB00313,DB00425,0.1333
16160,DB00313,DB00426,0.2444
16161,DB00313,DB00433,0.0808
16162,DB00313,DB00435,0.069
16163,DB00313,DB00440,0.0714
16164,DB00313,DB00446,0.1519
16165,DB00313,DB00448,0.0833
16166,DB00313,DB00450,0.1121
16167,DB00313,DB00454,0.1818
16168,DB00313,DB00455,0.1154
16169,DB00313,DB00457,0.0943
16170,DB00313,DB00458,0.1149
16171,DB00313,DB00461,0.1892
16172,DB00313,DB00465,0.125
16173,DB00313,DB00472,0.1136
16174,DB00313,DB00475,0.0233
16175,DB00313,DB00477,0.1163
16176,DB00313,DB00480,0.0253
16177,DB00313,DB00481,0.096
16178,DB00313,DB00482,0.0412
16179,DB00313,DB00484,0.0
16180,DB00313,DB00489,0.1622
16181,DB00313,DB00490,0.0926
16182,DB00313,DB00493,0.1481
16183,DB00313,DB00499,0.16
16184,DB00313,DB00501,0.1622
16185,DB00313,DB00502,0.14
16186,DB00313,DB00509,0.1778
16187,DB00313,DB00512,0.0728
16188,DB00313,DB00513,0.36
16189,DB00313,DB00524,0.0659
16190,DB00313,DB00529,0.2439
16191,DB00313,DB00530,0.1091
16192,DB00313,DB00531,0.1538
16193,DB00313,DB00537,0.1075
16194,DB00313,DB00540,0.0706
16195,DB00313,DB00541,0.1031
16196,DB00313,DB00543,0.0
16197,DB00313,DB00544,0.04
16198,DB00313,DB00545,0.1639
16199,DB00313,DB00548,0.2951
16200,DB00313,DB00549,0.0845
16201,DB00313,DB00550,0.2143
16202,DB00313,DB00552,0.05
16203,DB00313,DB00555,0.0
16204,DB00313,DB00557,0.1176
16205,DB00313,DB00559,0.0882
16206,DB00313,DB00564,0.0769
16207,DB00313,DB00571,0.15
16208,DB00313,DB00575,0.0
16209,DB00313,DB00582,0.0833
16210,DB00313,DB00586,0.1519
16211,DB00313,DB00590,0.0826
16212,DB00313,DB00593,0.1923
16213,DB00313,DB00596,0.1579
16214,DB00313,DB00598,0.2151
16215,DB00313,DB00603,0.098
16216,DB00313,DB00605,0.1684
16217,DB00313,DB00608,0.2273
16218,DB00313,DB00612,0.1778
16219,DB00313,DB00619,0.0896
16220,DB00313,DB00621,0.092
16221,DB00313,DB00622,0.1301
16222,DB00313,DB00623,0.0893
16223,DB00313,DB00627,0.1961
16224,DB00313,DB00630,0.1667
16225,DB00313,DB00631,0.0494
16226,DB00313,DB00632,0.172
16227,DB00313,DB00642,0.2143
16228,DB00313,DB00648,0.0263
16229,DB00313,DB00656,0.0784
16230,DB00313,DB00659,0.2963
16231,DB00313,DB00661,0.1197
16232,DB00313,DB00669,0.1481
16233,DB00313,DB00672,0.2222
16234,DB00313,DB00673,0.0625
16235,DB00313,DB00678,0.1416
16236,DB00313,DB00683,0.0217
16237,DB00313,DB00690,0.1765
16238,DB00313,DB00695,0.1446
16239,DB00313,DB00697,0.0
16240,DB00313,DB00700,0.0909
16241,DB00313,DB00708,0.1923
16242,DB00313,DB00710,0.2703
16243,DB00313,DB00712,0.2105
16244,DB00313,DB00718,0.1525
16245,DB00313,DB00724,0.1039
16246,DB00313,DB00726,0.1124
16247,DB00313,DB00727,0.1231
16248,DB00313,DB00731,0.2222
16249,DB00313,DB00734,0.0708
16250,DB00313,DB00736,0.086
16251,DB00313,DB00737,0.0556
16252,DB00313,DB00740,0.0
16253,DB00313,DB00742,0.1429
16254,DB00313,DB00745,0.125
16255,DB00313,DB00746,0.1353
16256,DB00313,DB00747,0.1573
16257,DB00313,DB00749,0.2824
16258,DB00313,DB00753,0.04
16259,DB00313,DB00761,0.0
16260,DB00313,DB00763,0.0444
16261,DB00313,DB00776,0.075
16262,DB00313,DB00780,0.0727
16263,DB00313,DB00784,0.1842
16264,DB00313,DB00787,0.1408
16265,DB00313,DB00794,0.1127
16266,DB00313,DB00796,0.1475
16267,DB00313,DB00798,0.0696
16268,DB00313,DB00799,0.1443
