,compound0,compound1,similarity
188,DB00153,DB00763,0.0404
189,DB00153,DB00776,0.0597
190,DB00153,DB00780,0.0183
191,DB00153,DB00784,0.0923
192,DB00153,DB00787,0.064
193,DB00153,DB00794,0.096
194,DB00153,DB00796,0.0568
195,DB00153,DB00798,0.2249
196,DB00153,DB00799,0.1457
197,DB00153,DB00802,0.1333
198,DB00153,DB00804,0.2238
199,DB00153,DB00806,0.0896
200,DB00153,DB00808,0.0959
201,DB00153,DB00809,0.0714
202,DB00153,DB00813,0.1307
203,DB00153,DB00818,0.2456
204,DB00153,DB00819,0.0526
205,DB00153,DB00820,0.122
206,DB00153,DB00822,0.0656
207,DB00153,DB00829,0.073
208,DB00153,DB00836,0.1356
209,DB00153,DB00841,0.0986
210,DB00153,DB00842,0.0876
211,DB00153,DB00843,0.1863
212,DB00153,DB00850,0.1006
213,DB00153,DB00853,0.0678
214,DB00153,DB00861,0.062
215,DB00153,DB00862,0.1257
216,DB00153,DB00864,0.2553
217,DB00153,DB00869,0.1231
218,DB00153,DB00877,0.2257
219,DB00153,DB00879,0.1129
220,DB00153,DB00880,0.048
221,DB00153,DB00884,0.0323
222,DB00153,DB00887,0.0671
223,DB00153,DB00889,0.2192
224,DB00153,DB00897,0.0685
225,DB00153,DB00903,0.0923
226,DB00153,DB00904,0.1399
227,DB00153,DB00905,0.1697
228,DB00153,DB00909,0.0504
229,DB00153,DB00910,0.716
230,DB00153,DB00915,0.1786
231,DB00153,DB00916,0.0714
232,DB00153,DB00918,0.1379
233,DB00153,DB00920,0.1528
234,DB00153,DB00924,0.0851
235,DB00153,DB00934,0.1408
236,DB00153,DB00938,0.0599
237,DB00153,DB00945,0.0696
238,DB00153,DB00947,0.2268
239,DB00153,DB00950,0.1514
240,DB00153,DB00951,0.0185
241,DB00153,DB00952,0.1655
242,DB00153,DB00953,0.0725
243,DB00153,DB00958,0.1429
244,DB00153,DB00960,0.1527
245,DB00153,DB00962,0.069
246,DB00153,DB00966,0.0729
247,DB00153,DB00967,0.1517
248,DB00153,DB00969,0.1119
249,DB00153,DB00970,0.1812
250,DB00153,DB00972,0.1646
251,DB00153,DB00973,0.0848
252,DB00153,DB00975,0.1413
253,DB00153,DB00983,0.1333
254,DB00153,DB00990,0.3262
255,DB00153,DB00991,0.0556
256,DB00153,DB00993,0.0597
257,DB00153,DB00996,0.1593
258,DB00153,DB00998,0.1679
259,DB00153,DB00999,0.064
260,DB00153,DB01001,0.128
261,DB00153,DB01003,0.0571
262,DB00153,DB01004,0.0769
263,DB00153,DB01005,0.022
264,DB00153,DB01006,0.0556
265,DB00153,DB01007,0.0548
266,DB00153,DB01008,0.0345
267,DB00153,DB01009,0.1053
268,DB00153,DB01016,0.1503
269,DB00153,DB01019,0.1121
270,DB00153,DB01020,0.1207
271,DB00153,DB01023,0.1088
272,DB00153,DB01029,0.1264
273,DB00153,DB01032,0.0763
274,DB00153,DB01033,0.055
275,DB00153,DB01035,0.063
276,DB00153,DB01039,0.1351
277,DB00153,DB01041,0.1203
278,DB00153,DB01042,0.0606
279,DB00153,DB01043,0.1897
280,DB00153,DB01044,0.1948
281,DB00153,DB01045,0.1674
282,DB00153,DB01048,0.1714
283,DB00153,DB01050,0.1833
284,DB00153,DB01059,0.125
285,DB00153,DB01062,0.1688
286,DB00153,DB01067,0.1548
287,DB00153,DB01068,0.0563
288,DB00153,DB01069,0.1168
289,DB00153,DB01072,0.1091
290,DB00153,DB01077,0.0381
291,DB00153,DB01097,0.0606
292,DB00153,DB01101,0.1351
293,DB00153,DB01105,0.2443
294,DB00153,DB01110,0.053
295,DB00153,DB01114,0.0896
296,DB00153,DB01115,0.1088
297,DB00153,DB01117,0.1688
298,DB00153,DB01118,0.0719
299,DB00153,DB01124,0.062
300,DB00153,DB01126,0.232
301,DB00153,DB01127,0.0537
302,DB00153,DB01128,0.0637
303,DB00153,DB01129,0.0658
304,DB00153,DB01132,0.0658
305,DB00153,DB01136,0.0714
306,DB00153,DB01140,0.1216
307,DB00153,DB01143,0.0179
308,DB00153,DB01149,0.0909
309,DB00153,DB01151,0.1151
310,DB00153,DB01156,0.1311
311,DB00153,DB01162,0.1875
312,DB00153,DB01165,0.1579
313,DB00153,DB01173,0.1022
314,DB00153,DB01181,0.0672
315,DB00153,DB01182,0.0789
316,DB00153,DB01188,0.2295
317,DB00153,DB01189,0.0385
318,DB00153,DB01193,0.1655
319,DB00153,DB01194,0.0986
320,DB00153,DB01195,0.1274
321,DB00153,DB01198,0.1146
322,DB00153,DB01204,0.0471
323,DB00153,DB01205,0.0851
324,DB00153,DB01215,0.0563
325,DB00153,DB01217,0.1
326,DB00153,DB01220,0.1282
327,DB00153,DB01221,0.192
328,DB00153,DB01223,0.0881
329,DB00153,DB01224,0.1
330,DB00153,DB01232,0.2018
331,DB00153,DB01233,0.0896
332,DB00153,DB01236,0.0183
333,DB00153,DB01238,0.1317
334,DB00153,DB01240,0.2
335,DB00153,DB01241,0.125
336,DB00153,DB01242,0.1259
337,DB00153,DB01254,0.1149
338,DB00153,DB01263,0.1498
339,DB00153,DB01264,0.1925
340,DB00153,DB01267,0.2249
341,DB00153,DB01268,0.1
342,DB00153,DB01275,0.0522
343,DB00153,DB01291,0.128
344,DB00153,DB01410,0.3069
345,DB00153,DB01589,0.0537
346,DB00153,DB01595,0.0571
347,DB00153,DB01609,0.05
348,DB00153,DB01610,0.1622
349,DB00153,DB01611,0.1103
350,DB00153,DB05271,0.1667
